Date (Doge Analysis F.Csv),Sentiment (Doge Analysis F.Csv),Close Price,Delta Close Price,F1,Vader Prediction (Doge Analysis F.Csv)
3/13/2022,positive,0.11145,-3,434,0.0837
3/14/2022,neutral,0.11386,2.1,435,0.02023
3/15/2022,negative,0.11259,-1.1,436,-0.056
3/16/2022,neutral,0.11708,3.8,437,0.02429
3/17/2022,positive,0.11645,-0.5,438,0.162855556
3/18/2022,positive,0.119195,2.3,439,0.18911
3/19/2022,positive,0.123615,3.6,440,0.2361625
3/20/2022,positive,0.119225,-3.7,441,0.09555
3/21/2022,neutral,0.11927,0,442,0.02795
3/22/2022,positive,0.122325,2.5,443,0.170055556
3/23/2022,positive,0.1299,5.8,444,0.05569
3/24/2022,positive,0.136805,5,445,0.10825
3/25/2022,positive,0.13091,-4.5,446,0.12148
3/26/2022,negative,0.13611,3.8,447,-0.08144
3/27/2022,neutral,0.144775,6,448,0
3/28/2022,neutral,0.142385,-1.7,449,-0.02488
3/29/2022,neutral,0.144425,1.4,450,0.00848
3/30/2022,neutral,0.14316,-0.9,451,-0.02464
3/31/2022,positive,0.13818,-3.6,452,0.0521
4/1/2022,neutral,0.14141,2.3,453,-0.0475125
4/2/2022,positive,0.138815,-1.9,454,0.07555
4/3/2022,positive,0.146585,5.3,455,0.143533333
4/4/2022,neutral,0.148465,1.3,456,0.03434
4/5/2022,neutral,0.17265,14,457,-0.02221
4/6/2022,negative,0.143315,-20.5,458,-0.07675
4/7/2022,positive,0.1459,1.8,459,0.08982
4/8/2022,positive,0.14242,-2.4,460,0.11443
4/9/2022,positive,0.144185,1.2,461,0.07355
4/10/2022,positive,0.148235,2.7,462,0.189
4/11/2022,neutral,0.13412,-10.5,463,0.02114
4/12/2022,positive,0.138,2.8,464,0.11199
4/13/2022,negative,0.13997,1.4,465,-0.158644444
4/14/2022,neutral,0.14409,2.9,466,0.03423
4/15/2022,neutral,0.14594,1.3,467,-0.04582
4/16/2022,neutral,0.143595,-1.6,468,0.0083
